कंप्यूटरगेम	कंप्यूटर+गेम
रेडियोस्टेशन	रेडियो+स्टेशन
मुद्रास्फीतिदर	मुद्रास्फीति+दर
खाद्यवस्तु	खाद्य+वस्तु
दिल्लीयूनिवर्सिटी	दिल्ली+यूनिवर्सिटी
दालकचौरी	दाल+कचौरी
रेलतंत्र	रेल+तंत्र
पाकिस्तानसेमीफाइनल	पाकिस्तान+सेमीफाइनल
शेयरदलाल	शेयर+दलाल
द्वीपतट	द्वीप+तट
शिक्षामंत्रालय	शिक्षा+मंत्रालय
लिस्बनसमझौते	लिस्बन+समझौते
प्रतीक्षाकाल	प्रतीक्षा+काल
बीमारक्षा	बीमा+रक्षा
रक्तधमनी	रक्त+धमनी
जम्मूसंभाग	जम्मू+संभाग
हजयात्रा	हज+यात्रा
प्रस्तरअभिलेख	प्रस्तर+अभिलेख
पोलियोटीके	पोलियो+टीके
गोवाराज्य	गोवा+राज्य
लक्षद्वीपटापू	लक्षद्वीप+टापू
पाकप्रधानमंत्री	पाक+प्रधानमंत्री
प्रार्थनाभवन	प्रार्थना+भवन
सुखसमृद्धि	सुख+समृद्धि
वन्यजीवअभ्यारण्य	वन्यजीव+अभ्यारण्य
बससेवा	बस+सेवा
टेस्टसीरीज	टेस्ट+सीरीज
अंतरिक्षविभाग	अंतरिक्ष+विभाग
ताजसमूह	ताज+समूह
प्रसिद्धस्थल	प्रसिद्ध+स्थल
मार्गमानचित्रों	मार्ग+मानचित्रों
तालीकिले	ताली+किले
जांचअधिकारियों	जांच+अधिकारियों
स्पेनदेश	स्पेन+देश
मलाबारतट	मलाबार+तट
यूएससरकार	यूएस+सरकार
विदेशमंत्री	विदेश+मंत्री
मनोवेगविकार	मनोवेग+विकार
प्रबंधसलाहकार	प्रबंध+सलाहकार
सिनेमाघर	सिनेमा+घर
मतदानकेंद्र	मतदान+केंद्र
शिकारस्थल	शिकार+स्थल
कैन्सरविज्ञान	कैन्सर+विज्ञान
बजटभाषण	बजट+भाषण
ऑक्सफोर्डयूनिवर्सिटी	ऑक्सफोर्ड+यूनिवर्सिटी
शहीददिवस	शहीद+दिवस
नागरिकआपदा	नागरिक+आपदा
राज्यमार्ग	राज्य+मार्ग
संचारनिदेशक	संचार+निदेशक
टाइफ़ाइडज्वर	टाइफ़ाइड+ज्वर
उग्रपंथीसंगठन	उग्रपंथी+संगठन
अंतरिक्षयान	अंतरिक्ष+यान
आसामराज्य	आसाम+राज्य
सिंचाईविभाग	सिंचाई+विभाग
जगन्नाथमंदिर	जगन्नाथ+मंदिर
लाहौरउच्च_न्यायालय	लाहौर+उच्च_न्यायालय
घरपरिवार	घर+परिवार
रेलटिकट	रेल+टिकट
हनुमानमंदिर	हनुमान+मंदिर
रानीमृगनयनी	रानी+मृगनयनी
तालिबानआतंकवादियों	तालिबान+आतंकवादियों
मालवापठार	मालवा+पठार
दुग्धप्रोटीन	दुग्ध+प्रोटीन
राज्यसंग्रहालय	राज्य+संग्रहालय
ड्राइविंगसीट	ड्राइविंग+सीट
मौसमविज्ञान	मौसम+विज्ञान
पार्वतीनदी	पार्वती+नदी
दूरसंचारतंत्र	दूरसंचार+तंत्र
स्कूबाडाइविंग	स्कूबा+डाइविंग
तेलबाजार	तेल+बाजार
इलाहाबादशहर	इलाहाबाद+शहर
मज़दूरयूनियन	मज़दूर+यूनियन
रेलवेकॉलोनी	रेलवे+कॉलोनी
पालनौकाओं	पाल+नौकाओं
हॉलिवुडफिल्म	हॉलिवुड+फिल्म
मलाईलस्सी	मलाई+लस्सी
तंत्रिकाऊतकों	तंत्रिका+ऊतकों
नारियलवृक्ष	नारियल+वृक्ष
पाटनसंग्रहालय	पाटन+संग्रहालय
बैंगलोरशहर	बैंगलोर+शहर
कालाभालू	काला+भालू
अवकाशगृहों	अवकाश+गृहों
नदधाराएँ	नद+धाराएँ
नदीधाराओं	नदी+धाराओं
मिलनबिन्दु	मिलन+बिन्दु
सुवर्ण_मंदिरपरिसर	सुवर्ण_मंदिर+परिसर
ग्रन्थिशोथ	ग्रन्थि+शोथ
स्मृतिस्तूप	स्मृति+स्तूप
तौरतरीकों	तौर+तरीकों
ब्याजदरों	ब्याज+दरों
पुलिसआयुक्त	पुलिस+आयुक्त
सिंगापुरडालरों	सिंगापुर+डालरों
जिलामुख्यालय	जिला+मुख्यालय
कार्यालयभवनों	कार्यालय+भवनों
पंजाबहॉकी	पंजाब+हॉकी
यूएसडॉलर	यूएस+डॉलर
कांगड़ाजिले	कांगड़ा+जिले
स्कीलिफ्ट	स्की+लिफ्ट
उत्पादबाज़ार	उत्पाद+बाज़ार
केंद्रसरकार	केंद्र+सरकार
सूचनाकेन्द्र	सूचना+केन्द्र
नियमक़ानून	नियम+क़ानून
चिकनगुनियाविषाणु	चिकनगुनिया+विषाणु
कोलंबियानदी	कोलंबिया+नदी
फलसब्जियों	फल+सब्जियों
वैशालीजिले	वैशाली+जिले
रिसर्चडायरेक्टर	रिसर्च+डायरेक्टर
बैंकअकाउंट	बैंक+अकाउंट
निकासदरवाज़े	निकास+दरवाज़े
जीवाणुविष	जीवाणु+विष
शिक्षाविभाग	शिक्षा+विभाग
किशोरकिशोरियों	किशोर+किशोरियों
रक्षाविभाग	रक्षा+विभाग
सिंधविधान_सभा	सिंध+विधान_सभा
पटोलासाड़ियों	पटोला+साड़ियों
सुरक्षामंत्री	सुरक्षा+मंत्री
मंदिरमस्जिद	मंदिर+मस्जिद
त्वचाविकारों	त्वचा+विकारों
जनसंख्यावृद्धि	जनसंख्या+वृद्धि
बॉम्बेस्टॉक	बॉम्बे+स्टॉक
वजीरिस्तानजिले	वजीरिस्तान+जिले
लेखापरीक्षक	लेखा+परीक्षक
दंतेवाड़ाजिले	दंतेवाड़ा+जिले
शहीदअस्पताल	शहीद+अस्पताल
आरोहणक्लब	आरोहण+क्लब
हृदयपरिवर्तन	हृदय+परिवर्तन
जलपक्षी	जल+पक्षी
चिकित्सासंस्थाओं	चिकित्सा+संस्थाओं
फंडऑफर	फंड+ऑफर
सुरक्षाव्यवस्था	सुरक्षा+व्यवस्था
स्वतंत्रताआंदोलन	स्वतंत्रता+आंदोलन
जीवजगत	जीव+जगत
क्रिकेटकाउंसिल	क्रिकेट+काउंसिल
पाकिस्तानक्रिकेट	पाकिस्तान+क्रिकेट
न्यूजीलैंडक्रिकेट	न्यूजीलैंड+क्रिकेट
महाराष्ट्रविधानसभा	महाराष्ट्र+विधानसभा
टेनिसटूर्नामेंट	टेनिस+टूर्नामेंट
सर्दीजुकाम	सर्दी+जुकाम
अनुसंधानकेन्द्र	अनुसंधान+केन्द्र
अटल_बिहारी_वाजपेयीसरकार	अटल_बिहारी_वाजपेयी+सरकार
विकासमंत्री	विकास+मंत्री
ट्रेनसेवा	ट्रेन+सेवा
पेट्रोलगैस	पेट्रोल+गैस
राजस्वविभाग	राजस्व+विभाग
पेंशनयोजना	पेंशन+योजना
आनंदवाटिका	आनंद+वाटिका
अम्बालाछावनी	अम्बाला+छावनी
टीबीमृत्यु	टीबी+मृत्यु
अंडरवर्ल्डडॉन	अंडरवर्ल्ड+डॉन
गाड़ीचालन	गाड़ी+चालन
भाग्यवश	भाग्य+वश
गठबंधनसरकार	गठबंधन+सरकार
डबल्सबैडमिंटन	डबल्स+बैडमिंटन
फ्लैटलोन	फ्लैट+लोन
विवाहकानून	विवाह+कानून
गृहध्वंस	गृह+ध्वंस
भगवानकृष्ण	भगवान+कृष्ण
जलविद्युत	जल+विद्युत
डाउनलोडरेट	डाउनलोड+रेट
कलेक्टरऑफिस	कलेक्टर+ऑफिस
जिलाअस्पताल	जिला+अस्पताल
लाहौरहाई_कोर्ट	लाहौर+हाई_कोर्ट
अंतरिक्षआयोग	अंतरिक्ष+आयोग
टेलीविजनचैनल	टेलीविजन+चैनल
पंजाबविधानसभा	पंजाब+विधानसभा
बसपरिवहन	बस+परिवहन
वर्ल्डचैंपियन	वर्ल्ड+चैंपियन
अकालस्मृति	अकाल+स्मृति
बीचअसर	बीच+असर
पुर्तगालीमूल	पुर्तगाली+मूल
मंत्रालयआवंटन	मंत्रालय+आवंटन
बयानदेश	बयान+देश
गैसमामले	गैस+मामले
कृष्णागोदावरी	कृष्णा+गोदावरी
कस्बेजहाजरानी	कस्बे+जहाजरानी
तीर्थयात्राकेन्द्र	तीर्थयात्रा+केन्द्र
विशेषज्ञचिकित्सक	विशेषज्ञ+चिकित्सक
आगंतुकउद्यान	आगंतुक+उद्यान
उत्तरजीविताकाल	उत्तरजीविता+काल
पाषाणकालीन	पाषाण+कालीन
वायरसपानी	वायरस+पानी
सालइंग्लैंड	साल+इंग्लैंड
मणिपुरनिवासियों	मणिपुर+निवासियों
पदार्थजब्त	पदार्थ+जब्त
पट्टीनहीं	पट्टी+नहीं
मात्रारिकॉर्ड	मात्रा+रिकॉर्ड
शरीरबीच	शरीर+बीच
पासंगशक्ति	पासंग+शक्ति
पानीविटामिनों	पानी+विटामिनों
नभूलें	न+भूलें
बीमारीस्कूल	बीमारी+स्कूल
दिनसमुद्र	दिन+समुद्र
सुरध्वनियों	सुर+ध्वनियों
कवर्धाक्षेत्र	कवर्धा+क्षेत्र
लंदनइंग्लैंड	लंदन+इंग्लैंड
दर्जनलोगों	दर्जन+लोगों
जीवनतनाव	जीवन+तनाव
समीक्षानहीं	समीक्षा+नहीं
टैक्सबोर्ड	टैक्स+बोर्ड
परजीवीरोगों	परजीवी+रोगों
कलाएँयाद	कलाएँ+याद
इटलीसरकार	इटली+सरकार
टीवीन्यूज	टीवी+न्यूज
काँचमंदिर	काँच+मंदिर
ज्ञाननहीं	ज्ञान+नहीं
कारणगोताखोरी	कारण+गोताखोरी
ईंधनयूरेनियम	ईंधन+यूरेनियम
अवसरनवरात्रि	अवसर+नवरात्रि
केरलगाँव	केरल+गाँव
संस्करणसभाओं	संस्करण+सभाओं
ठप्पानहीं	ठप्पा+नहीं
पत्नीपति	पत्नी+पति
कुछदिनों	कुछ+दिनों
स्कूटरगति	स्कूटर+गति
कारणअस्पताल	कारण+अस्पताल
बैंगलोरअहमदाबाद	बैंगलोर+अहमदाबाद
ब्यौराशिक्षा_विभाग	ब्यौरा+शिक्षा_विभाग
बीचईरान	बीच+ईरान
प्रौद्योगिकीविकास	प्रौद्योगिकी+विकास
वर्षावन	वर्षा+वन
भ्रमणकार्यक्रम	भ्रमण+कार्यक्रम
दुग्धउत्पादन	दुग्ध+उत्पादन
साथजन्म	साथ+जन्म
प्रवेशद्वारकुरान	प्रवेशद्वार+कुरान
कतारदरगाह	कतार+दरगाह
निदानसमर्थन	निदान+समर्थन
फसलचावल	फसल+चावल
अपेक्षासोडा	अपेक्षा+सोडा
औषधिप्रारंभ	औषधि+प्रारंभ
सुविधापाकिस्तान	सुविधा+पाकिस्तान
कल्पनानहीं	कल्पना+नहीं
इनमामलों	इन+मामलों
सफेदसंगमरमर	सफेद+संगमरमर
शांतिप्रक्रिया	शांति+प्रक्रिया
कार्यकारीनिदेशक	कार्यकारी+निदेशक
कलाकारब्राजील	कलाकार+ब्राजील
परमाणुबम	परमाणु+बम
हथकरघाविकास	हथकरघा+विकास
दासश्रम	दास+श्रम
जापानतेल	जापान+तेल
हिंदूसमाज	हिंदू+समाज
जीवनसंघर्ष	जीवन+संघर्ष
चिकित्सकबच्चे	चिकित्सक+बच्चे
चुनावना	चुनाव+ना
कारउपहार	कार+उपहार
आयोडीनमनुष्य	आयोडीन+मनुष्य
भोजनयात्रा	भोजन+यात्रा
शवस्तूप	शव+स्तूप
बातकरके	बात+करके
बाँधपरियोजना	बाँध+परियोजना
मुख्यमंत्रीपद	मुख्यमंत्री+पद
कीटविष	कीट+विष
दर्जनोंसाइकिल	दर्जनों+साइकिल
रोगाणुलौटता	रोगाणु+लौटता
स्टेडियमवर्ल्ड_कप	स्टेडियम+वर्ल्ड_कप
धक्कानहीं	धक्का+नहीं
टीबीन	टीबी+न
खाड़ीविश्व	खाड़ी+विश्व
तोतातश्तरी	तोता+तश्तरी
सू़जनशुरू	सू़जन+शुरू
टीमकुल	टीम+कुल
बंगलेहरियाली	बंगले+हरियाली
चारमीनारशहर	चारमीनार+शहर
मेरीगिरजाघर	मेरी+गिरजाघर
फारसीमूल	फारसी+मूल
धाराप्रवाह	धारा+प्रवाह
स्पेनीविजयी	स्पेनी+विजयी
चौदहजनवरी	चौदह+जनवरी
समयभगवान	समय+भगवान
साथशांति	साथ+शांति
बारऑस्ट्रेलिया	बार+ऑस्ट्रेलिया
गोपनीयताआवश्यकताओं	गोपनीयता+आवश्यकताओं
कुंभमेले	कुंभ+मेले
कर्नाटकलोकायुक्त	कर्नाटक+लोकायुक्त
इण्डियाकंपनी	इण्डिया+कंपनी
घोषणापार्टी	घोषणा+पार्टी
लोगशहरों	लोग+शहरों
गर्वनहीं	गर्व+नहीं
बाघगुफा	बाघ+गुफा
भारतीयबाजार	भारतीय+बाजार
रणनीतिविकास	रणनीति+विकास
सफेददीवारों	सफेद+दीवारों
पक्षतलाक	पक्ष+तलाक
मुम्बईमध्य	मुम्बई+मध्य
रास्ताखोजना	रास्ता+खोजना
म्यूजियमकोचीन	म्यूजियम+कोचीन
गंतव्यकरार	गंतव्य+करार
वर्णनशिलालेखों	वर्णन+शिलालेखों
नमूनापानी	नमूना+पानी
राततापमान	रात+तापमान
पर्वतभारत	पर्वत+भारत
झटकाधरती	झटका+धरती
समस्याअमल	समस्या+अमल
संरक्षणप्रदान	संरक्षण+प्रदान
स्थलजंगल	स्थल+जंगल
परिवर्तनहस्तक्षेपों	परिवर्तन+हस्तक्षेपों
पक्षीजीवन	पक्षी+जीवन
रोगलोगों	रोग+लोगों
नहींसहायता	नहीं+सहायता
भूलजांए	भूल+जांए
इलाकादेश	इलाका+देश
रोगीनिराशा	रोगी+निराशा
राजपूतवंश	राजपूत+वंश
हमलाशहर	हमला+शहर
खेलउत्सव	खेल+उत्सव
आगंतुकमठ	आगंतुक+मठ
पत्रिकाओंमुद्रा	पत्रिकाओं+मुद्रा
शासनकालशांति	शासनकाल+शांति
मधुमेहबचपन	मधुमेह+बचपन
पश्चिमएशिया	पश्चिम+एशिया
आवासविकल्प	आवास+विकल्प
प्रतीकअनुकृति	प्रतीक+अनुकृति
कलइलाहाबाद	कल+इलाहाबाद
सहारानहीं	सहारा+नहीं
थाईलोगों	थाई+लोगों
स्थितिकमजोर	स्थिति+कमजोर
सैनिकसुरक्षा	सैनिक+सुरक्षा
बेटेसम्राट	बेटे+सम्राट
प्रतिक्रियाएँखाद्यों	प्रतिक्रियाएँ+खाद्यों
इज्जतमिट्टी	इज्जत+मिट्टी
दौरानपर्यटक	दौरान+पर्यटक
इनकमबीस	इनकम+बीस
पितावहां	पिता+वहां
पुर्तगालीभाषा	पुर्तगाली+भाषा
हथियारकांड	हथियार+कांड
कुटीरउद्योग	कुटीर+उद्योग
समाजविस्थापन	समाज+विस्थापन
चिकित्साउपचारों	चिकित्सा+उपचारों
दौरानपर्यटन	दौरान+पर्यटन
थालप्रतीक्षा	थाल+प्रतीक्षा
मिट्टीकंकड़	मिट्टी+कंकड़
सरकारनागरिकों	सरकार+नागरिकों
कलाशब्द	कला+शब्द
संरक्षणकानून	संरक्षण+कानून
सेवकशिशु	सेवक+शिशु
कार्बोहाइड्रेटआहार	कार्बोहाइड्रेट+आहार
भुवनसंसार	भुवन+संसार
खुजलीबच्चों	खुजली+बच्चों
सदनप्रतिनिधि	सदन+प्रतिनिधि
मानवकंकाल	मानव+कंकाल
आतंकवादीकार्रवाइयां	आतंकवादी+कार्रवाइयां
उत्तरीआंगन	उत्तरी+आंगन
सौन्दर्यझलकता	सौन्दर्य+झलकता
मंदिरकाम	मंदिर+काम
हवाएँजून	हवाएँ+जून
पाउंडवजन	पाउंड+वजन
तसलेसीमेंट	तसले+सीमेंट
छत्तीसगढ़नाम	छत्तीसगढ़+नाम
बुखारखसरा	बुखार+खसरा
घटनामंगलवार	घटना+मंगलवार
साहित्यस्वभाव	साहित्य+स्वभाव
भ्रमणयात्रा	भ्रमण+यात्रा
धनियापत्ती	धनिया+पत्ती
भाँतिसरोवरों	भाँति+सरोवरों
शहरचेन्नई	शहर+चेन्नई
क्षेत्रउत्तर	क्षेत्र+उत्तर
दौरानउत्तरी	दौरान+उत्तरी
द्वाराअनादर	द्वारा+अनादर
सहायतामांगी	सहायता+मांगी
भाग्यहर्ष	भाग्य+हर्ष
कारणतलाक	कारण+तलाक
जलस्तरखतरे	जलस्तर+खतरे
योजनाएंनही	योजनाएं+नही
टूटनाशुरू	टूटना+शुरू
पर्वतमन्दिर	पर्वत+मन्दिर
हेतुयात्रियों	हेतु+यात्रियों
तेलखाड़ी	तेल+खाड़ी
रेचित्रकारी	रे+चित्रकारी
कीमतमांग	कीमत+मांग
महिलागुजारा	महिला+गुजारा
नौकासौंदर्य	नौका+सौंदर्य
शिशुबन्धन	शिशु+बन्धन
तरहप्रयोग	तरह+प्रयोग
भेड़बकरी	भेड़+बकरी
नमकस्नान	नमक+स्नान
डेकयोजना	डेक+योजना
परियोजनापर्यावरण	परियोजना+पर्यावरण
भारतबिजनेस	भारत+बिजनेस
स्वच्छतासेवाएं	स्वच्छता+सेवाएं
हानिपहुँचा	हानि+पहुँचा
व्यापारविश्व	व्यापार+विश्व
लोगसंघ	लोग+संघ
खाजलंगोटी	खाज+लंगोटी
यहाँपत्थर	यहाँ+पत्थर
शुष्कतानहीं	शुष्कता+नहीं
आरोपराजनीति	आरोप+राजनीति
फ्रांसराष्ट्र	फ्रांस+राष्ट्र
विचारोंइच्छाओं	विचारों+इच्छाओं
सरकारब्लैक_मनी	सरकार+ब्लैक_मनी
नियमफोन	नियम+फोन
क्रिकेटविश्व_कप	क्रिकेट+विश्व_कप
सस्तीदर	सस्ती+दर
ट्रैकजाम	ट्रैक+जाम
डॉक्टरऊँचाई	डॉक्टर+ऊँचाई
शहरपहुंचाते	शहर+पहुंचाते
वर्गमदिरा	वर्ग+मदिरा
जहाजनिर्माण	जहाज+निर्माण
मुकाबलेनैनीताल	मुकाबले+नैनीताल
अभिभावकनहीं	अभिभावक+नहीं
समर्थकक़बायलियों	समर्थक+क़बायलियों
जीवितप्राणियों	जीवित+प्राणियों
भारतआसानी	भारत+आसानी
तरहकाम	तरह+काम
साथसामंजस्य	साथ+सामंजस्य
घटावरक्त	घटाव+रक्त
महिलाएंवहां	महिलाएं+वहां
बीचगुदा	बीच+गुदा
राजधानीआगरा	राजधानी+आगरा
कामएड्स	काम+एड्स
बुखारग्रीष्म	बुखार+ग्रीष्म
लोगअपराधी	लोग+अपराधी
किरणेंहड्डियों	किरणें+हड्डियों
संग्रहालयशुक्रवार	संग्रहालय+शुक्रवार
चूहेदानखरीदने	चूहेदान+खरीदने
जीतहार	जीत+हार
स्थलपुरी	स्थल+पुरी
गलाघुटने	गला+घुटने
हस्तशिल्परचना	हस्तशिल्प+रचना
आनन्दप्रदान	आनन्द+प्रदान
दूधइंसानों	दूध+इंसानों
अनुभवभावनाओं	अनुभव+भावनाओं
कारणसंकट	कारण+संकट
हथियारमामले	हथियार+मामले
प्रभावनहीं	प्रभाव+नहीं
महिलाएंसवाल	महिलाएं+सवाल
बहनराजकुमारी	बहन+राजकुमारी
व्यक्तिददोरे	व्यक्ति+ददोरे
सेनाअंतरिक्ष	सेना+अंतरिक्ष
दबावसहन	दबाव+सहन
साथसंबंध	साथ+संबंध
आयोगभारत	आयोग+भारत
जायकाबिगाड़	जायका+बिगाड़
कांग्रेसहामी	कांग्रेस+हामी
बयानभारत	बयान+भारत
हथकरघाबुनकर	हथकरघा+बुनकर
ढेरोंआकर्षणों	ढेरों+आकर्षणों
भारतट्रांसफर	भारत+ट्रांसफर
परीक्षणरोगी	परीक्षण+रोगी
संतगुरु	संत+गुरु
प्रेमीयात्रा	प्रेमी+यात्रा
बसपकड़ना	बस+पकड़ना
प्राणन्योछावर	प्राण+न्योछावर
लौटतेवक़्त	लौटते+वक़्त
एड्समानवों	एड्स+मानवों
इटानगरदेश	इटानगर+देश
परिणामपरिवार	परिणाम+परिवार
मंदिरतीर्थंकरों	मंदिर+तीर्थंकरों
मिस्रनाइट्रोजन	मिस्र+नाइट्रोजन
प्रदर्शनकला	प्रदर्शन+कला
लक्षणसम्पर्क	लक्षण+सम्पर्क
झीलएशिया	झील+एशिया
ओरमोटरगाड़ी	ओर+मोटरगाड़ी
सीआईएमीडिया	सीआईए+मीडिया
वक्तफोटो	वक्त+फोटो
डॉक्टरमरीज़ों	डॉक्टर+मरीज़ों
तरहभोजन	तरह+भोजन
पत्नीसीता	पत्नी+सीता
फारसीग्रंथ	फारसी+ग्रंथ
बारचुनाव	बार+चुनाव
दौरानसत्ता	दौरान+सत्ता
लोहारीसेवाओं	लोहारी+सेवाओं
मार्गपूर्व	मार्ग+पूर्व
सूडाननाम	सूडान+नाम
सब्ज़ियांखाते	सब्ज़ियां+खाते
दरारेंमीलों	दरारें+मीलों
अर्थप्रसन्नता	अर्थ+प्रसन्नता
संदेशछेने	संदेश+छेने
विकासतंत्रिका	विकास+तंत्रिका
रातपाकिस्तान	रात+पाकिस्तान
आनन्दनहीं	आनन्द+नहीं
इनहमलों	इन+हमलों
मैसूरराजा	मैसूर+राजा
एशियाक्षेत्र	एशिया+क्षेत्र
फरव्यापार	फर+व्यापार
रेलवेविकास	रेलवे+विकास
आतिथ्यसत्कार	आतिथ्य+सत्कार
जगहआसानी	जगह+आसानी
पार्टीबीजेपी	पार्टी+बीजेपी
सीमाप्रवेश	सीमा+प्रवेश
जनसंपर्क	जन+संपर्क
पश्चिम_बंगालउत्तर_प्रदेश	पश्चिम_बंगाल+उत्तर_प्रदेश
कारणकेरल	कारण+केरल
आजआप	आज+आप
शहरजलगांव	शहर+जलगांव
शरणमांगी	शरण+मांगी
कारणराजस्थान	कारण+राजस्थान
डेटामोबाइल	डेटा+मोबाइल
कारोबारदेश	कारोबार+देश
बंदिशमंजूर	बंदिश+मंजूर
जैनतीर्थ	जैन+तीर्थ
शक्तिस्पेन	शक्ति+स्पेन
सीमाविभाजन	सीमा+विभाजन
विदेशीसैलानियों	विदेशी+सैलानियों
विश्वासअनुभव	विश्वास+अनुभव
नामनियुक्ति	नाम+नियुक्ति
सहननहीं	सहन+नहीं
नोटभारत	नोट+भारत
होटलआवास	होटल+आवास
नींदसीखने	नींद+सीखने
पश्चिममौसम	पश्चिम+मौसम
रिकॉर्डनीदरलैंड्स	रिकॉर्ड+नीदरलैंड्स
आयोगअधिनियम	आयोग+अधिनियम
पुर्तगालीशैली	पुर्तगाली+शैली
किनारेखरीदारी	किनारे+खरीदारी
गढ़नहीं	गढ़+नहीं
क्षेत्रभारत	क्षेत्र+भारत
जनतापाकिस्तान	जनता+पाकिस्तान
दौरानरक्त	दौरान+रक्त
दिनोंमॉरिशस	दिनों+मॉरिशस
पाकिस्तानभारत	पाकिस्तान+भारत
उत्तर_प्रदेशपर्यटन	उत्तर_प्रदेश+पर्यटन
घूसखोरीपकड़ने	घूसखोरी+पकड़ने
चिकित्सासमिति	चिकित्सा+समिति
जकार्ताएशिया	जकार्ता+एशिया
युवालोगों	युवा+लोगों
कार्यशालाउत्प्रेरकों	कार्यशाला+उत्प्रेरकों
बच्चेखाना	बच्चे+खाना
वर्तमानआबादी	वर्तमान+आबादी
महीनेपंजाब	महीने+पंजाब
इनज़िलों	इन+ज़िलों
प्रजननपानी	प्रजनन+पानी
डिब्बेपटरी	डिब्बे+पटरी
कीमतन	कीमत+न
सज्जाबाली	सज्जा+बाली
समूहपर्यटकों	समूह+पर्यटकों
साथआशीषा	साथ+आशीषा
वफ़ादारसेना	वफ़ादार+सेना
गरीबलोगों	गरीब+लोगों
किनारेराशिचक्र	किनारे+राशिचक्र
नामसुर्खियों	नाम+सुर्खियों
सिंगापुरमलेशिया	सिंगापुर+मलेशिया
चिकित्सकसंकुचन	चिकित्सक+संकुचन
प्रवेशनहीं	प्रवेश+नहीं
भाषानहीं	भाषा+नहीं
रिकॉर्डस्तर	रिकॉर्ड+स्तर
दिक्कतनहीं	दिक्कत+नहीं
अध्यक्षताअमरीका	अध्यक्षता+अमरीका
नहींउखाड़	नहीं+उखाड़
सालदर	साल+दर
ट्रकबम	ट्रक+बम
टीमयूरोप	टीम+यूरोप
उम्मीदनहीं	उम्मीद+नहीं
वर्तमानलेखक	वर्तमान+लेखक
अमरीकीआरक्षण	अमरीकी+आरक्षण
क्षेत्रजावा	क्षेत्र+जावा
नहींखेल	नहीं+खेल
व्यक्तिमान	व्यक्ति+मान
मुकदमाशुरू	मुकदमा+शुरू
बदमाशदिल्ली	बदमाश+दिल्ली
हिमालयक्षेत्र	हिमालय+क्षेत्र
कलकत्तापश्चिम_बंगाल	कलकत्ता+पश्चिम_बंगाल
सानीनहीं	सानी+नहीं
अपेक्षाजीवन	अपेक्षा+जीवन
जलनिकास	जल+निकास
मूलइमारतों	मूल+इमारतों
सेवाएंशुक्रवार	सेवाएं+शुक्रवार
चिकित्सासुविधाएँ	चिकित्सा+सुविधाएँ
कक्षसेवा	कक्ष+सेवा
वास्तुशिल्पीविरासत	वास्तुशिल्पी+विरासत
शहरसिक्खों	शहर+सिक्खों
महलअभिलेखागारों	महल+अभिलेखागारों
जन्मलंदन	जन्म+लंदन
समूहचुनाव	समूह+चुनाव
रूपधारण	रूप+धारण
प्रवाहशरीर	प्रवाह+शरीर
बारदमा	बार+दमा
खसरानंबर	खसरा+नंबर
आयोगपाकिस्तान	आयोग+पाकिस्तान
अध्ययनसंख्या	अध्ययन+संख्या
ओणमफसल	ओणम+फसल
उत्तर_प्रदेशविधानसभा	उत्तर_प्रदेश+विधानसभा
स्वीकारनासीखना	स्वीकारना+सीखना
मूर्तियाँगढ़ीं	मूर्तियाँ+गढ़ीं
हवाईगणतंत्र	हवाई+गणतंत्र
पुरुषटीम	पुरुष+टीम
खर्चबर्दाश्त	खर्च+बर्दाश्त
उभयचरप्रजातियों	उभयचर+प्रजातियों
रेखामिज़ोरम	रेखा+मिज़ोरम
दौरानराज्य	दौरान+राज्य
विमानईरान	विमान+ईरान
क्षतिपहुँचा	क्षति+पहुँचा
कारगिलशहीदों	कारगिल+शहीदों
महीनेराष्ट्रपति	महीने+राष्ट्रपति
पुलिसकानून	पुलिस+कानून
प्रस्तरवन	प्रस्तर+वन
यूजरखेलते	यूजर+खेलते
दुकानेंदवाओं	दुकानें+दवाओं
खातेकर्मचारी	खाते+कर्मचारी
बहूससुराल	बहू+ससुराल
किसानफसल	किसान+फसल
उपभोक्ताबिजली	उपभोक्ता+बिजली
बाज़ारमंदिर	बाज़ार+मंदिर
तनावमुक्ति	तनाव+मुक्ति
निफ्टीसुबह	निफ्टी+सुबह
निवेशकजापान	निवेशक+जापान
कार्यक्रमअनुरक्षण	कार्यक्रम+अनुरक्षण
हिस्साघास	हिस्सा+घास
शहरप्यार	शहर+प्यार
जिनमतदान	जिन+मतदान
विश्वस्वास्थ्य	विश्व+स्वास्थ्य
अल्पाहारविक्रय	अल्पाहार+विक्रय
शेयरमंगलवार	शेयर+मंगलवार
फर्कनहीं	फर्क+नहीं
कोलीमछुआरों	कोली+मछुआरों
घटनामुसलमानों	घटना+मुसलमानों
विस्फोटसेना	विस्फोट+सेना
रपटेंभारत	रपटें+भारत
बौद्धआयोजनों	बौद्ध+आयोजनों
निगरानीनहीं	निगरानी+नहीं
मेरुरज्जु	मेरु+रज्जु
जन्मफरवरी	जन्म+फरवरी
नौकरियाँपत्तों	नौकरियाँ+पत्तों
आड़खरीदें	आड़+खरीदें
किलोमीटरपूर्वोत्तर	किलोमीटर+पूर्वोत्तर
इकाईरिंगिट	इकाई+रिंगिट
सहयोगीदेशों	सहयोगी+देशों
पानीतनाव	पानी+तनाव
नेताविकास	नेता+विकास
